web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,description-text,created-date
"1697039924-265","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2008-occasion-10837890","AUDI A3 Sportback 3.2 V6 Ambition quat.","aus erster Hand Top zustand frisch ab MFK","CHF 10'800.–","01.2006","Limousine","96'123 km","Essence","Boîte manuelle","250 PS (184 kW)","4 roues motrices","10.5 l/100 km","Oui","16.01.2023","Non","Non","","Alte Landstrasse 1, 8600 Dübendorf","Listing ID: 10837890","Alte Landstrasse 1, 8600 Dübendorf Tel. 044 820 20 26 --- weitere Mitsubishi Modelle unter www.bag-garage.ch --- Ihr Mitsubishi-Spezialist in der Region Zürich Oberland

Garantie & Service
- inkl. Hersteller-Garantie
- inkl. Pannen-Assistance
- 100% Qualitätsarbeit

Swiss Package

- Eintausch möglich
- Garantie- & Service-Upgrade bis 10 Jahre
- inkl. technischer Support
- After Sales Service

Finanzierung
- Leasing / Teilzahlung / Abzahlungsfinanzierung
- günstigste Konditionen
- schnelle & komfortable Abwicklung

Ausgezeichneter Kundenservice
- Beratung & Probefahrt 
- Begleitung vom Kauf bis zur Ablieferung
- Probefahrt nach Vereinbarung

Herzlichen Dank für Ihr Interesse an unserem Fahrzeug!

Als offizieller MITSUBISHI Händler und Servicepartner sowie BOSCH CAR Service Stützpunkt erfüllen wir alle Wünsche rund um Ihr Fahrzeug. 
Zudem haben wir seit 1993 grosse Erfahrung mit SEAT/VW/Skoda/Audi/Porsche Fahrzeugen - so ist unser Know-How bei verschiedenen Marken stetig gewachsen.

Die Qualität steht neben dem persönlichen Kunden­kontakt bei uns im Vordergrund. Deshalb wurde der Betrieb 2005 nach den neusten Normen von ISO 9001:2000 zertifiziert und seither jährlich einer Audit-Prüfung unterzogen.

Wir bieten allen nicht MITSUBISHI Fahrern höchste Qualität für Ihr Auto mit unserem BOSCH CAR SERVICE. Von der Verkaufsberatung über Reparatur und Wartung.
Alles aus einer Hand mit der einzigartigen Kompetenz des weltweit führenden Erstausstatters fast aller Marken.","2023-09-07"
"1697039933-266","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2009-occasion-10747937","AUDI A3 Sportback 1.8 TFSI Snow quattro","Frisch ab MFK+Service / 8-fach bereift / AHK 1400 Kg / Inkl.12 Monate Garantie /..","CHF 10'800.–","04.2010","Limousine","145'000 km","Essence","Boîte manuelle","160 PS (118 kW)","4 roues motrices","7.5 l/100 km","Oui","16.12.2021","Non","Oui","À partir de la livraison du véhicule, 12 mois ou 20'000 km","Gewerbestr.9, 6417 Sattel Kt. Schwyz","Listing ID: 10747937","Frisch ab MFK+Service / 8-fach bereift / AHK 1400 Kg / Inkl.12 Monate Garantie /..
Besichtigungstermine bitte per Telefon oder per E-Mail im Voraus vereinbaren.Gerne nehmen wir Fragen per Telefon (in D) oder per E-Mail (D, E, F, I usw.) entgegen. Bitte kommen Sie vorbei um sich ein Bild vom Fahrzeug zu machen. Eine Beschreibung ist nie 100% abschliessend","2023-08-05"
"1697039940-267","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-cabriolet-2014-occasion-10108770","AUDI A3 Cabriolet 1.8 TFSI Attraction quattro S-tronic","0798333026 gepflegtes Fahrzeug Automat( Mechatronik) neuAllradAutomat","CHF 10'900.–","05.2014","Cabriolet","201'000 km","Essence","Boîte manuelle automatisée","180 PS (132 kW)","4 roues motrices","6.6 l/100 km","Oui","18.05.2022","Non","Non","","Schwanden 65, 3054 Schüpfen","Listing ID: 10108770","","2022-12-16"
"1697039947-268","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2012-occasion-10462697","AUDI A3 1.4 TFSI Ambition","CH-FAHRZEUG,","CHF 10'900.–","04.2012","Limousine","61'391 km","Essence","Boîte manuelle","125 PS (92 kW)","Traction avant","5.7 l/100 km","Non","15.02.2022","Non","Non","","Feldmattstrasse 46, 6032 Emmen","Listing ID: 10462697","Good","2023-04-24"
"1697039954-269","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2014-occasion-10845407","AUDI A3 Sportback 1.8 TFSI Attraction","","CHF 10'900.–","02.2014","Limousine","120'000 km","Essence","Boîte manuelle","180 PS (132 kW)","Traction avant","5.8 l/100 km","Oui","","Non","Non","","Rte de la Neuveville 22, 2525 Le Landeron","Listing ID: 10845407","En super état","2023-09-11"
"1697039961-270","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2013-occasion-10892727","AUDI A3 Sportback 2.0 TDI Attraction quattro","SLINE QUATTRO * WIRD FRISCH MFK VERKAUFT * FRISCH AB SERVICE","CHF 10'900.–","10.2013","Limousine","172'000 km","Diesel","Boîte manuelle","150 PS (110 kW)","4 roues motrices","4.7 l/100 km","Non","","Non","Non","","Wiesenstrasse 30, 5412 Gebenstorf","Listing ID: 10892727","","2023-09-27"
"1697039968-271","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2014-occasion-10928826","AUDI A3 Sportback 1.6 TDI Ambition S-tronic","","CHF 10'900.–","05.2014","Limousine","205'000 km","Diesel","Boîte manuelle automatisée","105 PS (77 kW)","Traction avant","3.9 l/100 km","Non","11.02.2019","Non","Non","","via cantonale 80, 6516 Cugnasco","Listing ID: 10928826","","2023-10-09"
"1697039975-272","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2014-occasion-10827417","AUDI A3 Sportback 1.6 TDI Ambiente","","CHF 10'900.–","08.2014","Limousine","152'700 km","Diesel","Boîte manuelle","110 PS (81 kW)","Traction avant","3.8 l/100 km","Oui","","Non","Non","","Via San Gottardo 78b, 6500 Bellinzona","Listing ID: 10827417","","2023-09-04"
"1697039982-273","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2013-occasion-10887560","AUDI A3 Sportback 1.6 TDI Ambiente","Véhicule propre ,services suivis,8 jantes en alu,(expertise et garantie possible 1000.-fr en plus )","CHF 10'900.–","06.2013","Limousine","100'700 km","Diesel","Boîte manuelle","105 PS (77 kW)","Traction avant","3.8 l/100 km","Non","16.03.2020","Non","Non","","Chemin de Cudrex 15, 1030 Bussigny-près-Lausanne","Listing ID: 10887560","Frisch MFK und garantie 12 Monaten1000.-fr auf prise","2023-09-25"
"1697039989-274","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2015-occasion-10869416","AUDI A3 Sportback 1.4 TFSI Ambiente S-tronic","","CHF 10'900.–","06.2015","Limousine","174'000 km","Essence","Boîte manuelle automatisée","150 PS (110 kW)","Traction avant","4.7 l/100 km","Non","27.04.2021","Non","Non","","Rue Alphonse Large 19, 1217 Meyrin","Listing ID: 10869416","A FUIR!!! Ils ont été malhonnêtes et menteurs ! J’étais venue acheter une Mercedes ...","2023-09-19"
