"","annonce.link.href","title","subtitle","price","date","body.type","kilometers","fuel.type","transmission","power","drivetrain","consumption","expertise","expertise.date","accident","warranty","warranty.details","location","listing.id","created.date","new.price","description.text","defective","vehicle.age","listing.age","vehicle.age.squared","kilometers.squared","cabriolet","suv","sedan","diesel","hybrid","natural.gas","manual","awd"
"22","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2002-occasion-10915102","SKODA Octavia 1.9 TDI Elegance 4x4","",1900,"2002-04-01","Break",131000,"Diesel","Boîte manuelle",101,"4 roues motrices",6.2,FALSE,"2019-03-14",FALSE,FALSE,"","Dammweg 85, 3902 Glis",10915102,"2023-10-04",NA,"",FALSE,7874,18,61999876,1.7161e+10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"23","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2008-occasion-10928975","SKODA Octavia 2.0 TDI Laurin & Klement 4x4","- Avec sièges chauffants en cuir! - Carrosserie légèrement grêlée !",1900,"2008-02-01","Break",265000,"Diesel","Boîte manuelle",140,"4 roues motrices",6.3,FALSE,"2021-08-26",FALSE,FALSE,"","rue Guillaume-Triponez 48, 2336 Les Bois",10928975,"2023-10-10",NA,"Personne pas serieuse je vous déconseille d'acheter et de reparer votre véhicule ...",FALSE,5742,12,32970564,7.0225e+10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"24","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2008-occasion-10886740","SKODA Octavia 2.0 FSI Adventure 4x4","",1990,"2008-01-01","Break",257000,"Essence","Boîte manuelle",150,"4 roues motrices",8.9,FALSE,"2020-08-25",FALSE,FALSE,"","Suhrhardweg 14, 5102 Rupperswil",10886740,"2023-09-25",NA,"",FALSE,5773,27,33327529,6.6049e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"25","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2008-occasion-9854564","SKODA Octavia 1.9 TDI Swiss Ice Hockey 4x4","",1999,"2008-06-01","Break",220410,"Diesel","Boîte manuelle",105,"4 roues motrices",6.1,FALSE,"2019-08-06",FALSE,FALSE,"","Bielstrasse 49, 3900 Gamsen",9854564,"2022-11-14",NA,"Fix preis",FALSE,5621,342,31595641,48580568100,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"26","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2007-occasion-9205636","SKODA Octavia 2.0 FSI Laurin & Klement 4x4","",1999,"2007-01-01","Break",165540,"Essence","Boîte manuelle",150,"4 roues motrices",8.9,FALSE,"2019-12-26",FALSE,FALSE,"","Bielstrasse 49, 3900 Gamsen",9205636,"2022-11-14",NA,"Fix preis",FALSE,6138,342,37675044,27403491600,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"27","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2005-occasion-10469152","SKODA Octavia 1.9 TDI Adventure 4x4","",1999,"2005-10-01","Break",230192,"Diesel","Boîte manuelle",105,"4 roues motrices",6,FALSE,"2020-08-05",FALSE,FALSE,"","Bielstrasse 49, 3900 Gamsen",10469152,"2023-04-26",NA,"",FALSE,6595,179,43494025,52988356864,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"28","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10741252","SKODA Octavia 1.9 TDI Swiss Adventure 4x4","Läuft einwandfrei / MFK 7.2022 / Klima",2000,"2005-11-01","Break",263400,"Diesel","Boîte manuelle",105,"4 roues motrices",6,FALSE,"2022-07-25",FALSE,FALSE,"","Alpenstrasse 1, 6386 Wolfenschiessen",10741252,"2023-08-03",NA,"En pocos sitios he visto tantos Suv y 4x4 de distintas marcas",FALSE,6564,80,43086096,69379560000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"29","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2008-occasion-10663738","SKODA Octavia 2.0 TDI Ambiente","",2000,"2008-10-01","Break",350000,"Diesel","Boîte manuelle automatisée",140,"Traction avant",6.1,FALSE,"2020-02-02",FALSE,FALSE,"","industriestrasse 100, 3178 bösingen",10663738,"2023-07-02",NA,"lauft sehr gute",FALSE,5499,112,30239001,1.225e+11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"30","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2013-occasion-10734052","SKODA Octavia Combi 1.8 TSI Ambition 4x4","",2150,"2009-05-01","Break",188500,"Essence","Boîte manuelle",160,"4 roues motrices",7.7,FALSE,NA,FALSE,FALSE,"","Im Hackacker 23, 8902 Urdorf",10734052,"2023-07-29",NA,"",FALSE,5287,85,27952369,35532250000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"31","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2009-occasion-10901975","SKODA Octavia Combi 1.4 TSI Ambiente","",2290,"2009-10-01","Break",231000,"Essence","Boîte manuelle",122,"Traction avant",6.3,FALSE,"2022-03-11",FALSE,FALSE,"","Bielstrasse 10a, 2545 Selzach",10901975,"2023-09-29",NA,"Das Auto in gutem Zustand und fahrbar, Service regelmässig,Klimaanlage, hat noch MFK.",FALSE,5134,23,26357956,5.3361e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"32","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2001-occasion-10232056","SKODA Octavia 1.8 Turbo Elegance","Frisch ab MFK 01.02.2023",2300,"2001-11-01","Break",263423,"Essence","Boîte manuelle",150,"Traction avant",8,TRUE,"2023-02-01",FALSE,FALSE,"","Bernstrasse 229, 4852 rothrist",10232056,"2023-02-04",NA,"Frisch ab MFK. Läuft gut. 4fach bereift mit Felgen wo auf Fotos sichtbar sind. .

FÜR BESICHTIGUNGEN BITTE 1-2 STUNDEN BEVOR SIE KOMMEN ANRUFEN

-- 

SUPER EINTAUSCH OFFERTEN
-- ANKAUF VON ALLE FAHRZEUGEN
-- 50 GÜNSTIGE OCCASIONEN AB  1000.-FR AM LAGER 
-- FAST ALLE FAHRZEUGEN FRISCH AB MFK
-- FÜR FAHRZEUGEN UNTER 10 JAHREN QUALITY ONE GARANTIE MÖGLICH
-- Dank unserer zentraler Lage, 2 kilometer von autobahn ausfahrt OLTEN, ROTHRIST. wir sind von überall her gut und schnell erreichbar. 
Von Basel, Zürich, Luzern, Bern in 30 minuten erreichbar.

Irrtümer und Zwischenverkauf vorbehalten, keine Haftung für Druck und Schreibfehler. Alle Angaben ohne Gewähr",FALSE,8025,260,64400625,69391676929,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"33","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2008-occasion-10853568","SKODA Octavia 2.0 TFSI RS","",2300,"2008-02-01","Break",271000,"Essence","Boîte manuelle",200,"Traction avant",7.9,FALSE,"2021-12-06",FALSE,FALSE,"","Märkiweg 3, 5502 Hunzenschwil",10853568,"2023-09-13",NA,"FAHRBAR",FALSE,5742,39,32970564,7.3441e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"34","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2009-occasion-10743328","SKODA Octavia Combi 1.8 TSI Adventure 4x4","fix preis",2300,"2009-04-01","Break",220000,"Essence","Boîte manuelle",160,"4 roues motrices",7.7,TRUE,NA,FALSE,FALSE,"","Hauptstrasse 51, 6418 6418 Rothenthurm",10743328,"2023-08-03",NA,"",FALSE,5317,80,28270489,4.84e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"35","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2007-occasion-10949502","SKODA Octavia 2.0 TDI Adventure 4x4","",2300,"2007-07-01","Break",250000,"Diesel","Boîte manuelle",140,"4 roues motrices",6.3,FALSE,"2020-10-17",FALSE,FALSE,"","Alpsteinstrasse 56, 9100 Herisau",10949502,"2023-10-17",NA,"Läuft einwandfrei zu info jederzeit",FALSE,5957,5,35485849,6.25e+10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"36","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10557960","SKODA OCTAVIA 1.9 TDI DSG Automat","",2400,"2006-11-01","Break",212000,"Diesel","Automatique",NA,"4 roues motrices",NA,FALSE,"2019-03-13",FALSE,FALSE,"","Route de la Pisciculture 39, 1700 Fribourg",10557960,"2023-05-26",NA,"1.9 TDI 
DSG Automatic 
Anhängerkupplung 
Das Fahrzeug ist in guter zustand",FALSE,6199,149,38427601,4.4944e+10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"37","https://www.autoscout24.ch/fr/d/skoda-octavia-cabriolet-2007-occasion-10687116","SKODA Octavia 2.0 TFSI RS","IM Auftrag 079 434 39 33 Motor läuft sehr gut",2499,"2007-03-01","Cabriolet",204425,"Hybride léger essence/électrique","Boîte manuelle",200,"Traction avant",7.9,FALSE,"2020-11-01",FALSE,FALSE,"","Schürmatt 3, 6247 Schötz beim LANDI und ALDI (Kanton Luzern)",10687116,"2023-07-10",NA,"IM Auftrag 079 434 39 33
Motor läuft sehr gut",FALSE,6079,104,36954241,41789580625,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"38","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2004-occasion-10898053","SKODA Octavia 1.6 Ambiente","Zuverlässiges Arbeitsauto ab MFK.",2499,"2004-02-01","Break",169000,"Essence","Boîte manuelle",102,"Traction avant",7.2,TRUE,"2022-09-07",FALSE,FALSE,"","Seetalstrasse 41, 8280 Kreuzlingen",10898053,"2023-09-28",NA,"Ab mfk. Rechte Seite Beule siehe Bilder bitte",FALSE,7203,24,51883209,2.8561e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"39","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2007-occasion-10960324","SKODA Octavia 2.0 TFSI RS","",2500,"2007-03-01","Break",239000,"Essence","Boîte manuelle",200,"Traction avant",7.9,FALSE,"2023-03-24",FALSE,FALSE,"","Märkiweg 3, 5502 Hunzenschwil",10960324,"2023-10-20",NA,"KUPPLUNG DEFFEKT AB MFK",FALSE,6079,2,36954241,5.7121e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"40","https://www.autoscout24.ch/fr/d/skoda-octavia-break-1999-occasion-10888478","SKODA Octavia 1.8 SLX","Frisch ab mfk",2500,"1999-09-01","Break",179385,"Essence","Automatique",125,"Traction avant",9.4,TRUE,"2023-09-18",FALSE,FALSE,"","Bahnhofstrasse 41, 6244 Nebikon",10888478,"2023-09-25",NA,"Frisch ab mfk 18.09.23 sehr vieles wurde ersetzt. 
FÜR BESICHTIGUNGEN BITTE 1-2 STUNDEN BEVOR SIE KOMMEN ANRUFEN-- FAHRZEUGEINTAUSCH – KEIN PROBLEM, um Ihnen ein Eintauschangebot zu unterbreiten, bitten wir um folgende Angaben: Kopie FahrzeugausweisKilometerstand Auflistung von bekannte MängelPreisvorstellung?- Letzter Mfk?Fotos Innen und Aussen-- ANKAUF VON ALLE FAHRZEUGEN-- FAST ALLE FAHRZEUGEN FRISCH AB MFK -- FÜR FAHRZEUGEN UNTER 10 JAHREN QUALITY ONE GARANTIE MÖGLICH-- Dank unserer zentraler Lage, 3 kilometer von autobahn ausfahrt DAGMERSELLEN  wir sind von überall her gut und schnell erreichbar .Irrtümer und Zwischenverkauf vorbehalten, keine Haftung für Druck und Schreibfehler. Alle Angaben ohne Gewähr",FALSE,8817,27,77739489,32178978225,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"41","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2008-occasion-10952930","SKODA Octavia 1.9 TDI Adventure 4x4","",2500,"2008-04-01","Break",157000,"Diesel","Boîte manuelle",105,"4 roues motrices",6.1,FALSE,"2020-09-17",FALSE,FALSE,"","8134 Adliswil",10952930,"2023-10-18",NA,"Das Auto steht in der Stadt Langnau am Albis (8135)

Mechanische ist im gut Zustand, lückenlos Serviceheft, der Zahnriemen und Wasser Pumpe sind beim 111000 im 2016 ersetzt Worden,

Der Interieurs ist ok 

Die Carrassorie hat Roststellen am Schwelle und Rad Lauf wie die Bremsen hinten sind verrostet 

Stahlfelgen mit Winterreifen ( nicht gut)

Alufelgen mit Sommerreifen",FALSE,5682,4,32285124,2.4649e+10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"42","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2005-occasion-10843849","SKODA Octavia 1.9 TDI Elegance","",2600,"2005-05-01","Break",333000,"Diesel","Boîte manuelle automatisée",105,"Traction avant",6,FALSE,"2019-09-04",FALSE,FALSE,"","Witzbergstrasse 5L, 8330 Pfäffikon ZH",10843849,"2023-09-10",NA,"",FALSE,6748,42,45535504,1.10889e+11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"43","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2007-occasion-10863389","SKODA Octavia 2.0 TDI RS","",2600,"2007-01-01","Break",289500,"Diesel","Boîte manuelle",170,"Traction avant",5.8,FALSE,"2021-02-15",FALSE,FALSE,"","Mühlenstrasse 1, 8587 Oberaach",10863389,"2023-09-16",NA,"2 Schlüssel",FALSE,6138,36,37675044,83810250000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"44","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10618831","SKODA Octavia 2.0 TDI Elegance","",2700,"2006-04-01","Break",250000,"Diesel","Boîte manuelle automatisée",140,"Traction avant",6.1,FALSE,"2020-02-12",FALSE,FALSE,"","Route du Moulin 67, 3977 Granges",10618831,"2023-06-16",NA,"",FALSE,6413,128,41126569,6.25e+10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"45","https://www.autoscout24.ch/fr/d/skoda-octavia-limousine-2008-occasion-10962460","SKODA Octavia 1.9 TDI Ambiente DSG","MOTOR Lauft nicht-Automatic Getreibe GSD-MFK 14.03.2022",2790,"2008-10-01","Limousine",3e+05,"Diesel","Boîte manuelle automatisée",105,"Traction avant",6.1,FALSE,"2022-03-14",FALSE,FALSE,"","Oltenstrasse 26, 4702 Oensingen",10962460,"2023-10-21",NA,"",FALSE,5499,1,30239001,9e+10,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"46","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2001-occasion-10038110","SKODA Octavia 1.8 Turbo Laurin & Klement","",2799,"2001-02-01","Break",236233,"Essence","Automatique",150,"Traction avant",9.2,TRUE,"2022-11-18",FALSE,FALSE,"","Industriering 73, 4227 Büsserach",10038110,"2022-11-19",NA,"* Mit Frisch   M.F.K
 * Mit Frisch Service 
* Mit  Sitzheiszung 
*Mit  8x fachbereift 
 EURO . 4",FALSE,8298,337,68856804,55806030289,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"47","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10757664","SKODA Octavia 1.9 TDI Adventure 4x4","",2800,"2006-06-01","Break",126000,"Diesel","Boîte manuelle",105,"4 roues motrices",6,FALSE,NA,FALSE,FALSE,"","Route d'Oron 102, 1000 Lausanne",10757664,"2023-08-09",NA,"",FALSE,6352,74,40347904,1.5876e+10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
