"","annonce.link.href","title","subtitle","price","date","body.type","kilometers","fuel.type","transmission","power","drivetrain","consumption","expertise","expertise.date","accident","warranty","warranty.details","location","listing.id","description.text","created.date","new.price","defective","vehicle.age","listing.age","vehicle.age.squared","kilometers.squared","sedan","coupe","diesel","hybrid","manual","awd","price.residuals","pred.price"
"176","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2010-occasion-10684503","TOYOTA Yaris 1.8 TS","Dépôt-vente privé. Très bon état général.Tél au 0767677667.",7900,"2010-05-01","Petite voiture",151000,"Essence","Boîte manuelle",133,"Traction avant",7,FALSE,"2022-12-08",FALSE,FALSE,"","Rte. de Lausanne 16, 1400 Yverdon-les-Bains",10684503,"Véhicule très bien entretenu avec carnet de service à jour.
Roues été et roues hiver.
Disponible de suite.","2023-07-09",NA,FALSE,4916,99,24167056,2.2801e+10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,879.103359664218,7020.89664033578
"177","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2012-occasion-10589345","TOYOTA Yaris 1.33 VVT-i Sol","",7900,"2012-02-01","Petite voiture",172950,"Essence","Boîte manuelle",99,"Traction avant",5.4,TRUE,"2022-09-19",FALSE,FALSE,"","Summiswaldstrasse 29, 3452 Grünenmatt",10589345,"","2023-06-07",NA,FALSE,4275,131,18275625,29911702500,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2444.19129014758,5455.80870985242
"178","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2011-occasion-10849793","TOYOTA Yaris 1.33 Linea Sol Multimode","",7900,"2011-01-01","Petite voiture",90000,"Essence","Boîte manuelle automatisée",99,"Traction avant",5.2,FALSE,"2021-11-09",FALSE,FALSE,"","Route De Pisciculture 35, 1700 Fribourg",10849793,"","2023-09-12",NA,FALSE,4671,34,21818241,8.1e+09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1938.41619392834,9838.41619392834
"179","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2012-occasion-10779693","TOYOTA Yaris 1.33 Luna Multidrive","",7900,"2012-01-01","Petite voiture",182388,"Essence","Boîte automatique variable",99,"Traction avant",5.1,TRUE,"2023-08-14",FALSE,FALSE,"","1562 CORCELLES près PAYERNE",10779693,"Carnet de service suvi régulièrement par garage Toyota.
Expertisée le 14.08.2023. Avec service.
Roues avec pneus été. Roues avec pneus hiver.

TOYOTA YARIS 1,3I  Linéa Luna. Boite à vitesse automatique. Grise foncée, 1er mise en circul. 19.01.2012.  182'388 km. 5 portes. 5 places.

ABS, TRC, verrouillage central télécommandé, 2 clefs, direction assistée, airbags, climatisation, 2 vitres électriques, vitres teintées, 2 rétro. extérieur électriques, sièges chauffeur réglable en hauteur, volant multifonctions, réglable en hauteur et profondeur, volant multifonctions, ordinateur de bord, couvre coffre, radio CD, BLUETOOTH, Téléphone.
4 roues avec pneus été.
4 roues avec pneus hiver.","2023-08-17",NA,FALSE,4306,60,18541636,33265382544,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,313.064236080697,7586.9357639193
"180","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2010-occasion-10903461","TOYOTA Yaris 1.33 Linea Sol","Expertisée / Faible kilométrage / Service fait / Véhicule en très bon état.",7900,"2010-09-01","Petite voiture",26400,"Essence","Boîte manuelle",99,"Traction avant",5.2,TRUE,"2022-02-15",FALSE,FALSE,"","Chemin des Chambrettes 1B, 1131 Tolochenaz",10903461,"Expertisée / Faible kilométrage / Service fait / Véhicule en très bon état.","2023-09-30",NA,FALSE,4793,16,22972849,696960000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-2573.88606749321,10473.8860674932
"181","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2011-occasion-10906776","TOYOTA Yaris 1.33 Linea Luna","Première main, carnet d'entretien, Expertisée. Parfait état.",7900,"2011-06-01","Petite voiture",43000,"Essence","Boîte manuelle",99,"Traction avant",5.2,TRUE,"2022-01-14",FALSE,FALSE,"","chemin des coquelicots, 25, 1214 Vernier",10906776,"","2023-10-02",NA,FALSE,4520,14,20430400,1.849e+09,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-2014.6890498877,9914.6890498877
"182","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2013-occasion-10857822","TOYOTA Yaris 1.33 VVT-i Sol","",7900,"2013-03-01","Petite voiture",121000,"Essence","Boîte manuelle",99,"Traction avant",5.4,FALSE,"2013-03-26",FALSE,FALSE,"","Dorfstrasse 15, Mauss, 3205 Gümmenen",10857822,"Ablieferungspauschale CHF 350.-","2023-09-14",NA,FALSE,3881,32,15062161,1.4641e+10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,394.111075391768,7505.88892460823
"183","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2012-occasion-9070956","TOYOTA Yaris 1.33 VVT-i Style","",8300,"2012-01-01","Petite voiture",154950,"Essence","Boîte manuelle",99,"Traction avant",5.5,TRUE,"2022-09-08",FALSE,FALSE,"","Summiswaldstrasse 29, 3452 Grünenmatt",9070956,"","2022-11-14",NA,FALSE,4306,336,18541636,24009502500,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2477.9002575448,5822.0997424552
"184","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2012-occasion-10912240","TOYOTA Yaris 1.33 Luna","Véhicule Suisse-Très Bien Soignée-Caméra de recul-Climatisation-Bluetooth-Radio DAB-Expertisé du Jour & Garantie 12 mois !",8300,"2012-08-01","Petite voiture",143650,"Essence","Boîte manuelle",99,"Traction avant",5.4,TRUE,"2023-10-20",FALSE,TRUE,"À partir de la livraison du véhicule, 12 mois ou 20'000 km","Route Cantonale 108, 1025 St-Sulpice VD",10912240,"Magnifique Toyota Yaris 1.33 Luna 99 CV / 5 Portes / Véhicule Fiable & Economique / Distribution moteur par Chaîne donc sans entretien ni changement elle est lubrifié par l’huile moteur !

Véhicule Suisse Super Bien Equipée & Très Bien Soignée / La Carrosserie et en Superbe état !

Cette Belle Occasion Sera Vendu Expertisé Du Jour + Service Fait à Jour + Garantie 12 mois ou 20’000 Km inclu ! 

La Batterie est Neuve et sous garantie + Enjoliveurs Sont d’origine Toyota tout Neuf !","2023-10-03",NA,FALSE,4093,13,16752649,20635322500,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1845.98090539556,6454.01909460444
"185","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2010-occasion-10916579","TOYOTA Yaris 1.33 Linea Sol","MFK geprüft im August 2023",8300,"2010-03-01","Petite voiture",107500,"Essence","Boîte manuelle",99,"Traction avant",5.1,TRUE,"2023-08-15",FALSE,FALSE,"","St. Gallerstrasse 13, 8353 Elgg",10916579,"Aussen wie innen sehr gepflegtes Fahrzeug.
8-fach bereift","2023-10-05",NA,FALSE,4977,11,24770529,11556250000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1893.70058462769,6406.29941537231
"186","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2009-occasion-10800362","TOYOTA Yaris 1.8 TS","Kompressor 215 PS",8400,"2009-08-01","Petite voiture",131300,"Essence","Boîte manuelle",215,"Traction avant",7,TRUE,NA,FALSE,TRUE,"À partir de la livraison du véhicule, 3 mois ou 5'000 km","Hauptstrasse 20, 3475 Riedtwil",10800362,"Aliräder 18 Zoll , spez.Federn , Li-Re Auspuffanlage","2023-08-25",NA,FALSE,5189,52,26925721,17239690000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-3509.98577857149,11909.9857785715
"187","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2013-occasion-10416918","TOYOTA Yaris 1.33 Style","Frisch ab MFK und Service",8490,"2013-04-01","Petite voiture",161900,"Essence","Boîte manuelle",99,"Traction avant",5.5,TRUE,NA,FALSE,FALSE,"","Rösslistrasse 28, 8586 Erlen",10416918,"Herzlich Willkommen bei der Garage Schmucki GmbH

Fahrzeug frisch ab MFK und Service

Innen sauber aussen hat er 2-3 Gebrauchsspuren siehe Foto.

Für eine Besichtigung bitte einen Termin vereinbaren! 

 
-------------------------------------------------------------------------------------------
Wir sind ein familiärer Schweizer Kleinbetrieb mitten im Thurgau, und sprechen somit nur Deutsch! 
Die Garage Schmucki ist seit 10 Jahren in der Branche tätig.

Unsere Occasionen sind:
- Aufbereitet
- Servicegepflegt
- Frisch ab MFK
- usw...

Wir nehmen auch Eintauschfahrzeuge entgegen.

Wir stehen hinter dem was wir Verkaufen!

Für eine Besichtigung bitte einen Termin vereinbaren. Da einige Fahrzeuge auf einem Ausstellungsplatz stehen und nicht bei der Garage.

Auf Wunsch bieten wir Ihnen ein Ablieferungspaket von CHF 300.- an, welches eine Tankfüllung, Vignette sowie die administrativen Arbeiten der Immatrikulation beinhaltet.

Ansonsten wird das Fahrzeug so wie es da steht verkauft, ohne Einführung. 

Eine Heimlieferung währe möglich jedoch nur nach Absprache ab CHF 300.-","2023-04-06",NA,FALSE,3850,193,14822500,26211610000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2101.36575178654,6388.63424821346
