"","annonce.link.href","title","subtitle","price","date","body.type","kilometers","fuel.type","transmission","power","drivetrain","consumption","expertise","expertise.date","accident","warranty","warranty.details","location","listing.id","created.date","new.price","description.text","defective","vehicle.age","listing.age","vehicle.age.squared","kilometers.squared","wagon","cabriolet","small.car","coupe","diesel","hybrid","natural.gas","electric","manual","awd","price.residuals","pred.price"
"21","https://www.autoscout24.ch/fr/d/audi-a3-limousine-1999-occasion-8943564","AUDI A3 1.8 T Ambiente","Wenn frisch ab Mfk zusätzlich chf 600/1-2 Wochen lieferfrist!",2200,"1999-11-01","Limousine",261000,"Essence","Boîte manuelle",150,"Traction avant",7.9,TRUE,"2020-10-27",FALSE,FALSE,"","Gummertliweg 6, 4702 Oensingen",8943564,"2022-11-14",NA,"",FALSE,8765,351,76825225,6.8121e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-207.123280062198,2407.1232800622
"23","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2005-occasion-10855650","AUDI A3 Sportback 2.0 FSI Ambition","Bon état",2300,"2005-05-01","Limousine",197000,"Essence","Automatique",150,"Traction avant",8.2,FALSE,NA,FALSE,FALSE,"","Zone industrielle C 69, 1844 Villeneuve",10855650,"2023-09-14",NA,"Bon état",FALSE,6757,47,45657049,3.8809e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-749.912655026984,3049.91265502698
"24","https://www.autoscout24.ch/fr/d/audi-a3-limousine-1998-occasion-10935410","AUDI A3 1.8 T Ambiente","Frisch ab MFK",2300,"1998-05-01","Limousine",286000,"Essence","Boîte manuelle",150,"Traction avant",7.9,TRUE,"2023-10-11",FALSE,FALSE,"","Luzernerstrasse 55, 5630 Muri AG",10935410,"2023-10-11",NA,"Frisch ab MFK.Frisch ab Gross Service,(neue Bremse vor kurzem,neue Handbremsseil,Oelservice,usw.)Alu Felgen,Klima,ABS,Servo,ZV usw.",FALSE,9314,20,86750596,8.1796e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-1153.48430800752,3453.48430800752
"25","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2005-occasion-10889429","AUDI A3 Sportback 1.6 FSI Ambiente","",2499,"2005-01-01","Limousine",218000,"Essence","Boîte manuelle",115,"Traction avant",6.7,FALSE,NA,FALSE,FALSE,"","Westring 9, 5502 Hunzenschwil",10889429,"2023-09-26",NA,"",FALSE,6877,35,47293129,4.7524e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2260.64629853783,238.353701462167
"26","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2007-occasion-10916819","AUDI A3 Sportback 2.0 Turbo FSI Ambiente quattro","",2500,"2007-04-01","Limousine",216834,"Essence","Boîte manuelle",200,"4 roues motrices",9,FALSE,"2019-12-05",FALSE,FALSE,"","Bernstrasse 55, 4852 Rothrist",10916819,"2023-10-05",NA,"",FALSE,6057,26,36687249,47016983556,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-2651.95372262538,5151.95372262538
"27","https://www.autoscout24.ch/fr/d/audi-a3-limousine-1996-occasion-10934957","AUDI A3 1.8 Ambition","Roule bien, expertisée 10/10/2023.",2500,"1996-12-01","Limousine",177000,"Essence","Boîte manuelle",125,"Traction avant",8.3,TRUE,"2023-10-10",FALSE,FALSE,"","Rue de Plaisance 10, 1227 Carouge",10934957,"2023-10-11",NA,"Roule bien, expertisée 10/10/2023.",FALSE,9830,20,96628900,3.1329e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-2033.54662283575,4533.54662283575
"28","https://www.autoscout24.ch/fr/d/audi-a3-coupe-1998-occasion-10975572","AUDI A3 1.6 Ambition","8-fach bereift, inkl. Wintercheck Anhängerkupplung, Fahrzeug war jährlich im Garagenservice Kratzer auf allen vier Seiten!",2500,"1998-10-01","Coupé",175000,"Essence","Boîte manuelle",101,"Traction avant",7.8,FALSE,"2023-04-14",FALSE,FALSE,"","Wallrütistrasse 52, 8404 Winterthur",10975572,"2023-10-26",33410,"",FALSE,9161,5,83923921,3.0625e+10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,540.036285909675,1959.96371409033
"29","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2005-occasion-10765583","AUDI A3 2.0 FSI Ambiente","MFK 01,23 Auto ist in einem guten Zustand, Läuft Einwandfrei, 3Türe Limousine, Benzin, Klima.",2600,"2005-08-01","Limousine",296000,"Essence","Boîte manuelle",150,"Traction avant",7.6,TRUE,"2023-01-19",FALSE,FALSE,"","Grindel 33, 6017 Ruswil",10765583,"2023-08-12",NA,"La voiture MFK 01.23 est en bon état, roule parfaitement, berline 3 portes, essence, climatisation.",FALSE,6665,80,44422225,8.7616e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,251.186805828168,2348.81319417183
"31","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-10941941","AUDI A3 Sportback 2.0 FSI Ambiente","Besichtigung: Steigstrasse 26 8406 Winterthur.Parkhaus erste Stock.Kontakt: 0765165747",2690,"2006-04-01","Limousine",220000,"Essence","Boîte manuelle",150,"Traction avant",7.6,FALSE,"2021-05-31",FALSE,FALSE,"","Steigstrasse 26, 8406 Winterthur",10941941,"2023-10-14",NA,"Klima, 8fach bereift.",FALSE,6422,17,41242084,4.84e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1207.35636558403,1482.64363441597
"32","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2008-occasion-10854361","AUDI A3 Sportback 1.8 Turbo FSI Ambiente","",2690,"2009-05-01","Limousine",250000,"Essence","Boîte manuelle",160,"Traction avant",7.2,TRUE,"2022-03-13",FALSE,FALSE,"","Route de Satigny 58, 1242 Satigny",10854361,"2023-09-13",NA,"",FALSE,5296,48,28047616,6.25e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-1264.54030925105,3954.54030925105
"33","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2008-occasion-10969813","AUDI A3 Sportback 1.8 Turbo FSI Ambiente","",2700,"2008-02-01","Limousine",230000,"Essence","Boîte manuelle",160,"Traction avant",7.4,FALSE,NA,FALSE,FALSE,"","Route de Reculan 3, 1024 Ecublens",10969813,"2023-10-24",NA,"Acheteur très sympathique et arrangeant, achat cash sans blabla au juste prix. ...",FALSE,5751,7,33074001,5.29e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,222.996744487386,2477.00325551261
"34","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-10729689","AUDI A3 Sportback 2.0 Turbo FSI Ambiente","",2700,"2006-11-01","Limousine",237941,"Essence","Boîte manuelle",200,"Traction avant",7.9,FALSE,"2021-03-04",FALSE,FALSE,"","Am Sagenbach 20, 6033 Buchrain",10729689,"2023-07-27",NA,"",FALSE,6208,96,38539264,56615919481,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-200.05899570135,2900.05899570135
"35","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2003-occasion-10684098","AUDI A3 2.0 TDI Ambiente","Frisch ab MFK",2700,"2003-08-01","Limousine",306000,"Diesel","Boîte manuelle",140,"Traction avant",5.7,TRUE,"2023-05-12",FALSE,FALSE,"","Ifangstrasse 12, 8603 Schwerzenbach",10684098,"2023-07-08",NA,"Frisch ab MFK
Frischer Service",FALSE,7396,115,54700816,9.3636e+10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-214.931628644567,2914.93162864457
