web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,description-text,created-date
"1696863218-21","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-break-2000-occasion-10907274","VW Golf Variant 1.6","Motor und Getriebe sind Sehr guter Mit Klima  .8 Fach- bereift. Mit Anhängerkupplung ?","CHF 900.–","03.2000","Break","208'622 km","Essence","Automatique","100 PS (74 kW)","Traction avant","8.8 l/100 km","Non","02.01.2021","Non","Non","","Chollerstrasse 32, 6300 Zug","Listing ID: 10907274","","2023-10-02"
"1696863225-22","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-10022499","VW Golf 1.6 Comfortline","","CHF 900.–","08.2000","Limousine","295'000 km","Essence","Boîte manuelle","100 PS (74 kW)","Traction avant","7.9 l/100 km","Non","","Non","Non","","3302 Moosseedorf","Listing ID: 10022499","","2022-11-15"
"1696863232-23","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-10362709","VW Golf 1.8 Trendline 4Motion","","CHF 900.–","01.2000","Limousine","189'510 km","Essence","Boîte manuelle","125 PS (92 kW)","4 roues motrices","9.1 l/100 km","Non","24.03.2021","Non","Non","","Bielstrasse 49, 3900 Gamsen","Listing ID: 10362709","","2023-03-20"
"1696863239-24","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-10755105","VW Golf 1.6 Comfortline","Schaltgetriebe Motor Getriebe in ordung Fahrzeug muss vorgeführt werdenFix Preis","CHF 900.–","02.2000","Limousine","221'700 km","Essence","Automatique","100 PS (74 kW)","Traction avant","8.8 l/100 km","Non","17.01.2020","Non","Non","","Guschastrasse 88, 9475 Sevelen","Listing ID: 10755105","Schnelle Verhandlung und Ehrlicher Verkäufer! Danke immer Wieder","2023-08-08"
"1696863246-25","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-limousine-2001-occasion-10863518","VW Golf 1.8 T GTI","","CHF 900.–","10.2001","Limousine","400'000 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","8 l/100 km","Non","16.01.2021","Non","Non","","Überland Strasse 109 neh/ Golf Club/ bie Agir, 8951 Fahrweid","Listing ID: 10863518","War ok","2023-09-16"
"1696863253-26","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-limousine-2005-occasion-10869725","VW Golf 2.0 FSI Sportline","","CHF 900.–","04.2005","Limousine","198'191 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","7.8 l/100 km","Non","16.03.2020","Non","Non","","Bielstrasse 49, 3900 Gamsen","Listing ID: 10869725","","2023-09-19"
"1696863260-27","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-break-2000-occasion-10901985","VW Golf Variant 1.9 TDI PD Comfortline","","CHF 900.–","11.2000","Break","270'000 km","Diesel","Boîte manuelle","115 PS (85 kW)","Traction avant","5.4 l/100 km","Non","","Non","Non","","Route De Pisciculture 35, 1700 Fribourg","Listing ID: 10901985","Courroie de distribution changer à 25000km problème turbo voiture roule mais fume","2023-09-29"
"1696863267-28","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-limousine-1997-occasion-10819821","VW Golf 1600 Swiss Line","","CHF 990.–","03.1997","Limousine","180'000 km","Essence","Boîte manuelle","75 PS (55 kW)","Traction avant","7.4 l/100 km","Oui","01.09.2021","Non","Non","","Route de Satigny 58, 1242 Satigny","Listing ID: 10819821","","2023-09-01"
"1696863274-29","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-9008893","VW Golf 1.6 16V Comfortline","Alternator Defekt Manuel Getriebe Klimaanlage Alufelgen Motor und Getriebe  I.o ideal für Export","CHF 999.–","08.2000","Limousine","208'654 km","Essence","Boîte manuelle","105 PS (77 kW)","Traction avant","7.1 l/100 km","Non","20.09.2018","Non","Non","","industrie str 6, 8604 Volketswil","Listing ID: 9008893","","2022-11-14"
"1696863281-30","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-break-2001-occasion-10412460","VW Golf Variant 1.6 Comfortline Automatic","","CHF 999.–","06.2001","Break","189'866 km","Essence","Automatique","100 PS (74 kW)","Traction avant","8.3 l/100 km","Non","24.01.2020","Non","Non","","Bielstrasse 49, 3900 Gamsen","Listing ID: 10412460","","2023-04-05"
