web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,created-date,new-price,description-text
"1698000013-21","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2002-occasion-10961106","SKODA Octavia 1.8 Turbo Elegance","Technisch einwandfrei/ braucht neue Winterreifen/ Automatikgetriebe /letzte MFK Februar 2022 /Neue Batterie mit Garantie","CHF 1'500.–","06.2002","Break","216'000 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","8 l/100 km","Non","18.02.2022","Non","Non","","9100 Herisau","Listing ID: 10961106","2023-10-21","Non",""
"1698000028-22","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2005-occasion-10687280","SKODA OCTAVIA 2.0 FSI  ELEGANCE","","CHF 1'600.–","09.2005","Break","182'143 km","Essence","Automatique","-","-","-","Non","","Oui","Non","","Riedackerweg 14, 8107 Buchs ZH","Listing ID: 10687280","2023-07-10","Non","Beide Stossfänger r Lackschäden.
Kotfluegel vr eingedrückt, Felge Lack beschädigt.
Beide Tueren r oben und Seitenwand r leichte Beschädigungen.
Vorschaden, beideTueren und Tuerschweller rechts schlecht reparierte Vorschäden getriebe Problem"
"1698000043-23","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10735994","SKODA Octavia 2.0 TFSI RS","","CHF 1'600.–","07.2006","Break","266'368 km","Essence","Boîte manuelle","200 PS (147 kW)","Traction avant","7.9 l/100 km","Non","03.11.2022","Non","Non","","Hauptstraße 1, 2577 Finsterhennen","Listing ID: 10735994","2023-07-30","Non","Das Bremspedal ist hart. Wahrscheinlich Undichtigkeit bei der Unterdruckversorgung. Das Auto hat ein Ölverlust, Grund ISR unbekannt. 
Motor läuft ruhig und das Getriebe schaltet gut. 
Letzte MFK 03.11.2022"
"1698000056-24","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2004-occasion-10930331","SKODA Octavia 1.9 TDI Ambiente 4x4","","CHF 1'650.–","08.2004","Break","275'630 km","Diesel","Boîte manuelle","101 PS (74 kW)","4 roues motrices","6.3 l/100 km","Non","08.07.2020","Non","Non","","Bodackerstrasse 14, 8953 Dietikon","Listing ID: 10930331","2023-10-10","Non","I'm Auftrag"
"1698000069-25","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10137081","SKODA Octavia 1.9 TDI Adventure 4x4","","CHF 1'700.–","05.2006","Break","180'000 km","Diesel","Boîte manuelle","105 PS (77 kW)","4 roues motrices","6 l/100 km","Non","30.08.2019","Non","Non","","1950 Sion","Listing ID: 10137081","2022-12-30","Non","Direction dure !!!!!
Grêle"
"1698000082-26","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2007-occasion-10945157","SKODA Octavia 2.0 FSI Adventure 4x4","","CHF 1'700.–","02.2007","Break","209'000 km","Essence","Boîte manuelle","150 PS (110 kW)","4 roues motrices","8.9 l/100 km","Non","","Non","Non","","Sägenstrasse 56, 7000 Chur","Listing ID: 10945157","2023-10-15","Non","Motor und Getriebe funktionieren gut
8x Kompletträder, 2x Schlüssel
Verkauf ab Platz für Export"
"1698000096-27","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2008-occasion-10963510","SKODA Octavia 2.0 TDI RS DSG","","CHF 1'800.–","10.2008","Break","295'000 km","Diesel","Boîte manuelle automatisée","170 PS (125 kW)","Traction avant","6 l/100 km","Non","22.10.2020","Oui","Non","","gewerbestrasse 16, 4562 Biberist","Listing ID: 10963510","2023-10-22","Non","Kleine unfall aber Motor lauft einwandfrei"
"1698000109-28","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2007-occasion-10945249","SKODA Octavia 2.0 TDI RS","Merci de me contacter sur ce numéro là svp 0779611015","CHF 1'800.–","01.2007","Break","305'000 km","Diesel","Boîte manuelle","170 PS (125 kW)","Traction avant","5.8 l/100 km","Non","","Non","Non","","1030 Bussigny","Listing ID: 10945249","2023-10-15","Non","Merci de me contacter sur ce numéro là svp 0779611015"
"1698000122-29","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10532810","SKODA Octavia 2.0 FSI Ambiente","","CHF 1'900.–","01.2006","Break","313'000 km","Essence","Automatique","150 PS (110 kW)","Traction avant","8.4 l/100 km","Non","07.01.2021","Non","Non","","Bernstrasse 242,, 4852 Rothrist ( AG )","Listing ID: 10532810","2023-05-17","Non",""
"1698000135-30","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-limousine-2010-occasion-10890424","SKODA Octavia 1.2 TSI Ambiente","","CHF 1'900.–","11.2010","Limousine","275'000 km","Essence","Boîte manuelle","105 PS (77 kW)","Traction avant","5.7 l/100 km","Non","","Non","Non","","Industriestrasse 18, 9470 Buchs SG","Listing ID: 10890424","2023-09-26","Non","Oil pumpe macht gerausche"
"1698000148-31","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2002-occasion-10915102","SKODA Octavia 1.9 TDI Elegance 4x4","","CHF 1'900.–","04.2002","Break","131'000 km","Diesel","Boîte manuelle","101 PS (74 kW)","4 roues motrices","6.2 l/100 km","Non","14.03.2019","Non","Non","","Dammweg 85, 3902 Glis","Listing ID: 10915102","2023-10-04","Non",""
"1698000161-32","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2008-occasion-10928975","SKODA Octavia 2.0 TDI Laurin & Klement 4x4","- Avec sièges chauffants en cuir! - Carrosserie légèrement grêlée !","CHF 1'900.–","02.2008","Break","265'000 km","Diesel","Boîte manuelle","140 PS (103 kW)","4 roues motrices","6.3 l/100 km","Non","26.08.2021","Non","Non","","rue Guillaume-Triponez 48, 2336 Les Bois","Listing ID: 10928975","2023-10-10","Non","Personne pas serieuse je vous déconseille d'acheter et de reparer votre véhicule ..."
"1698000176-33","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2007-occasion-10881963","SKODA Octavia 1.9 TDI Swiss Adventure 4x4","*4x4* Ideal für Export*Fixpreis*","CHF 1'900.–","03.2007","Break","239'500 km","Diesel","Boîte manuelle","105 PS (77 kW)","4 roues motrices","6.1 l/100 km","Non","29.10.2020","Non","Non","","Industriestrasse 16, 6055 Alpnach Dorf","Listing ID: 10881963","2023-09-23","Non","Herzlich Willkommen bei Hess Automobile Alpnach AG

Skoda Octavia 4x4 

- Ideal für Teile oder Export
- Fährt, läuft, schaltet perfekt
- Fahrzeug hat Rost
- MFK 29.10.2020
- Klima
- Fahrzeug ist dreckig
- CH Fahrzeug
- usw..


- Ablieferungspauschale Fr. 350.- geschenkt!
- Finanzierung Leasing möglich.
- Eintauschauto sehr willkommen.
- Lieferung in der ganzen CH gegen Aufpreis möglich.
- Besichtigungstermine bitte per Telefon oder per E-mail im Voraus vereinbaren,
da nicht alle Fahrzeuge bei der Garage stehen.

****Wir freuen uns auf Ihren Anruf oder Email****
********** SUPER Angebot **********

Weitere 40 gepflegte Fahrzeuge ab Service und MFK im Angebot. Keinerlei Gewähr für Vollständigkeit, Richtigkeit und Aktualität. Jegliche Haftung ist ausgeschlossen."
